COURSE,SECTION,SECTION_TITLE,SIS_SESSION,ACTIVITY_TYPE,CRSE_ID,CRSE_OFFER_NBR,SECTION_SOURCED_ID,SECTION_TITLE,TERM,CLASS_NBR,COUNT_COMBINED_SECTIONS
ENVD3909,901,Independent Study,B,IND,106188,1,106188-01-2211-B-901-18328,Independent Study,20211,18328,
ENVD3909,902,Independent Study,B,IND,106188,1,106188-01-2211-B-902-18329,Independent Study,20211,18329,
ENVD3909,903,Independent Study,B,IND,106188,1,106188-01-2211-B-903-18330,Independent Study,20211,18330,
ENVD3909,904,Independent Study,B,IND,106188,1,106188-01-2211-B-904-18331,Independent Study,20211,18331,
ENVD3909,905,Independent Study,B,IND,106188,1,106188-01-2211-B-905-18332,Independent Study,20211,18332,
ENVD3909,906,Independent Study,B,IND,106188,1,106188-01-2211-B-906-18333,Independent Study,20211,18333,
ENVD3909,907,Independent Study,B,IND,106188,1,106188-01-2211-B-907-18334,Independent Study,20211,18334,
ENVD3909,908,Independent Study,B,IND,106188,1,106188-01-2211-B-908-18335,Independent Study,20211,18335,
ENVD3909,909,Independent Study,B,IND,106188,1,106188-01-2211-B-909-18336,Independent Study,20211,18336,
ENVD3919,801,Teaching Assistantship,B,OTH,106189,1,106189-01-2211-B-801-18348,Teaching Assistantship,20211,18348,
ENVD3919,802,Teaching Assistantship,B,OTH,106189,1,106189-01-2211-B-802-18349,Teaching Assistantship,20211,18349,
ENVD3919,806,Teaching Assistantship,B,OTH,106189,1,106189-01-2211-B-806-18353,Teaching Assistantship,20211,18353,
ENVD4909,902,Independent Study,B,IND,106256,1,106256-01-2211-B-902-18369,Independent Study,20211,18369,
ENVD4909,903,Independent Study,B,IND,106256,1,106256-01-2211-B-903-18370,Independent Study,20211,18370,
ENVD4909,904,Independent Study,B,IND,106256,1,106256-01-2211-B-904-18371,Independent Study,20211,18371,
ENVD4909,905,Independent Study,B,IND,106256,1,106256-01-2211-B-905-18372,Independent Study,20211,18372,
ENVD4909,906,Independent Study,B,IND,106256,1,106256-01-2211-B-906-18373,Independent Study,20211,18373,
ENVD4909,907,Independent Study,B,IND,106256,1,106256-01-2211-B-907-18374,Independent Study,20211,18374,
ENVD4909,908,Independent Study,B,IND,106256,1,106256-01-2211-B-908-18375,Independent Study,20211,18375,
ENVD4909,909,Independent Study,B,IND,106256,1,106256-01-2211-B-909-18376,Independent Study,20211,18376,
ENVD4909,910,Independent Study,B,IND,106256,1,106256-01-2211-B-910-18377,Independent Study,20211,18377,
ENVD4909,911,Independent Study,B,IND,106256,1,106256-01-2211-B-911-18378,Independent Study,20211,18378,
ENVD4909,912,Independent Study,B,IND,106256,1,106256-01-2211-B-912-18379,Independent Study,20211,18379,
ENVD4909,913,Independent Study,B,IND,106256,1,106256-01-2211-B-913-18380,Independent Study,20211,18380,
ENVD4909,915,Independent Study,B,IND,106256,1,106256-01-2211-B-915-18381,Independent Study,20211,18381,
ENVD4909,916,Independent Study,B,IND,106256,1,106256-01-2211-B-916-18382,Independent Study,20211,18382,
ENVD4909,917,Independent Study,B,IND,106256,1,106256-01-2211-B-917-18383,Independent Study,20211,18383,
ENVD4909,918,Independent Study,B,IND,106256,1,106256-01-2211-B-918-18384,Independent Study,20211,18384,
ENVD4909,919,Independent Study,B,IND,106256,1,106256-01-2211-B-919-18385,Independent Study,20211,18385,
ENVD4909,920,Independent Study,B,IND,106256,1,106256-01-2211-B-920-18386,Independent Study,20211,18386,
ENVD4919,901,Teaching Assistantship,B,OTH,106257,1,106257-01-2211-B-901-18387,Teaching Assistantship,20211,18387,
ENVD4919,902,Teaching Assistantship,B,OTH,106257,1,106257-01-2211-B-902-18388,Teaching Assistantship,20211,18388,
ENVD4919,903,Teaching Assistantship,B,OTH,106257,1,106257-01-2211-B-903-18389,Teaching Assistantship,20211,18389,
ENVD4919,904,Teaching Assistantship,B,OTH,106257,1,106257-01-2211-B-904-18390,Teaching Assistantship,20211,18390,
ENVD4919,905,Teaching Assistantship,B,OTH,106257,1,106257-01-2211-B-905-18391,Teaching Assistantship,20211,18391,
ENVD4919,906,Teaching Assistantship,B,OTH,106257,1,106257-01-2211-B-906-18392,Teaching Assistantship,20211,18392,
ENVD4919,907,Teaching Assistantship,B,OTH,106257,1,106257-01-2211-B-907-18393,Teaching Assistantship,20211,18393,
ENVD4919,908,Teaching Assistantship,B,OTH,106257,1,106257-01-2211-B-908-18394,Teaching Assistantship,20211,18394,
ENVD4919,909,Teaching Assistantship,B,OTH,106257,1,106257-01-2211-B-909-18395,Teaching Assistantship,20211,18395,
ENVD4919,910,Teaching Assistantship,B,OTH,106257,1,106257-01-2211-B-910-18396,Teaching Assistantship,20211,18396,
ENVD4919,911,Teaching Assistantship,B,OTH,106257,1,106257-01-2211-B-911-18397,Teaching Assistantship,20211,18397,
ENVD4919,912,Teaching Assistantship,B,OTH,106257,1,106257-01-2211-B-912-18398,Teaching Assistantship,20211,18398,
ENVD4929,801,Research Assistantship,B,RSC,106258,1,106258-01-2211-B-801-18407,Research Assistantship,20211,18407,
ENVD4929,802,Research Assistantship,B,RSC,106258,1,106258-01-2211-B-802-18408,Research Assistantship,20211,18408,
ENVD4929,803,Research Assistantship,B,RSC,106258,1,106258-01-2211-B-803-18409,Research Assistantship,20211,18409,
ENVD4929,804,Research Assistantship,B,RSC,106258,1,106258-01-2211-B-804-18410,Research Assistantship,20211,18410,
ENVD4929,805,Research Assistantship,B,RSC,106258,1,106258-01-2211-B-805-18411,Research Assistantship,20211,18411,
ENVD4929,806,Research Assistantship,B,RSC,106258,1,106258-01-2211-B-806-18412,Research Assistantship,20211,18412,
ATOC4900,901,Independent Study,B,IND,101716,1,101716-01-2211-B-901-18601,Independent Study,20211,18601,
ATOC4900,902,Independent Study,B,IND,101716,1,101716-01-2211-B-902-18602,Independent Study,20211,18602,
ATOC4900,903,Independent Study,B,IND,101716,1,101716-01-2211-B-903-18603,Independent Study,20211,18603,
ATOC4900,904,Independent Study,B,IND,101716,1,101716-01-2211-B-904-18604,Independent Study,20211,18604,
ATOC5900,901,Independent Study/ATOC,B,IND,101742,1,101742-01-2211-B-901-18606,Independent Study/ATOC,20211,18606,
ATOC5900,902,Independent Study/ATOC,B,IND,101742,1,101742-01-2211-B-902-18607,Independent Study/ATOC,20211,18607,
ATOC5900,903,Independent Study/ATOC,B,IND,101742,1,101742-01-2211-B-903-18608,Independent Study/ATOC,20211,18608,
ATOC8990,901,Doctoral Dissertation,B,DIS,101752,1,101752-01-2211-B-901-18611,Doctoral Dissertation,20211,18611,
ATOC8990,902,Doctoral Dissertation,B,DIS,101752,1,101752-01-2211-B-902-18612,Doctoral Dissertation,20211,18612,
ATOC8990,903,Doctoral Dissertation,B,DIS,101752,1,101752-01-2211-B-903-18613,Doctoral Dissertation,20211,18613,
ATOC8990,904,Doctoral Dissertation,B,DIS,101752,1,101752-01-2211-B-904-18614,Doctoral Dissertation,20211,18614,
ATOC8990,905,Doctoral Dissertation,B,DIS,101752,1,101752-01-2211-B-905-18615,Doctoral Dissertation,20211,18615,
ATOC8990,906,Doctoral Dissertation,B,DIS,101752,1,101752-01-2211-B-906-18616,Doctoral Dissertation,20211,18616,
ATOC8990,907,Doctoral Dissertation,B,DIS,101752,1,101752-01-2211-B-907-18617,Doctoral Dissertation,20211,18617,
ATOC8990,908,Doctoral Dissertation,B,DIS,101752,1,101752-01-2211-B-908-18618,Doctoral Dissertation,20211,18618,
ATOC8990,909,Doctoral Dissertation,B,DIS,101752,1,101752-01-2211-B-909-18619,Doctoral Dissertation,20211,18619,
ATOC8990,910,Doctoral Dissertation,B,DIS,101752,1,101752-01-2211-B-910-18620,Doctoral Dissertation,20211,18620,
ATOC8990,911,Doctoral Dissertation,B,DIS,101752,1,101752-01-2211-B-911-18621,Doctoral Dissertation,20211,18621,
ATOC8990,912,Doctoral Dissertation,B,DIS,101752,1,101752-01-2211-B-912-18622,Doctoral Dissertation,20211,18622,
ATOC8990,913,Doctoral Dissertation,B,DIS,101752,1,101752-01-2211-B-913-18623,Doctoral Dissertation,20211,18623,
ATOC8990,914,Doctoral Dissertation,B,DIS,101752,1,101752-01-2211-B-914-18624,Doctoral Dissertation,20211,18624,
ATOC8990,915,Doctoral Dissertation,B,DIS,101752,1,101752-01-2211-B-915-18625,Doctoral Dissertation,20211,18625,
ATOC8990,916,Doctoral Dissertation,B,DIS,101752,1,101752-01-2211-B-916-18626,Doctoral Dissertation,20211,18626,
ATOC8990,917,Doctoral Dissertation,B,DIS,101752,1,101752-01-2211-B-917-18627,Doctoral Dissertation,20211,18627,
ATOC8990,918,Doctoral Dissertation,B,DIS,101752,1,101752-01-2211-B-918-18628,Doctoral Dissertation,20211,18628,
ATOC8990,919,Doctoral Dissertation,B,DIS,101752,1,101752-01-2211-B-919-18629,Doctoral Dissertation,20211,18629,
ATOC8990,920,Doctoral Dissertation,B,DIS,101752,1,101752-01-2211-B-920-18630,Doctoral Dissertation,20211,18630,
ATOC8990,921,Doctoral Dissertation,B,DIS,101752,1,101752-01-2211-B-921-18631,Doctoral Dissertation,20211,18631,
ATOC8990,922,Doctoral Dissertation,B,DIS,101752,1,101752-01-2211-B-922-18632,Doctoral Dissertation,20211,18632,
ATOC8990,923,Doctoral Dissertation,B,DIS,101752,1,101752-01-2211-B-923-18633,Doctoral Dissertation,20211,18633,
PHIL2840,901,Independent Study,B,IND,113875,1,113875-01-2211-B-901-18705,Independent Study,20211,18705,
PHIL2840,907,Independent Study,B,IND,113875,1,113875-01-2211-B-907-18711,Independent Study,20211,18711,
PHIL3840,901,Independent Study,B,IND,113911,1,113911-01-2211-B-901-18731,Independent Study,20211,18731,
PHIL4950,801,Honors Thesis,B,OTH,113960,1,113960-01-2211-B-801-18811,Honors Thesis,20211,18811,
PHIL4950,802,Honors Thesis,B,OTH,113960,1,113960-01-2211-B-802-18812,Honors Thesis,20211,18812,
PHIL4950,803,Honors Thesis,B,OTH,113960,1,113960-01-2211-B-803-18813,Honors Thesis,20211,18813,
PHIL5810,802,Special Topic-Philosophy,B,OTH,114001,1,114001-01-2211-B-802-18840,Special Topic-Philosophy,20211,18840,
CHIN4900,901,Independent Study,B,IND,103045,1,103045-01-2211-B-901-18868,Independent Study,20211,18868,
CHIN4900,902,Independent Study,B,IND,103045,1,103045-01-2211-B-902-18869,Independent Study,20211,18869,
CHIN4950,801,Honors Thesis,B,OTH,103046,1,103046-01-2211-B-801-18870,Honors Thesis,20211,18870,
CHIN5900,901,Independent Study,B,IND,103070,1,103070-01-2211-B-901-18871,Independent Study,20211,18871,
CHIN5900,902,Independent Study,B,IND,103070,1,103070-01-2211-B-902-18872,Independent Study,20211,18872,
CHIN6900,901,Chinese Ind Study,B,IND,103071,1,103071-01-2211-B-901-18873,Chinese Ind Study,20211,18873,
CHIN6900,902,Chinese Ind Study,B,IND,103071,1,103071-01-2211-B-902-18874,Chinese Ind Study,20211,18874,
PHIL5840,901,Independent Study,B,IND,114002,1,114002-01-2211-B-901-18880,Independent Study,20211,18880,
PHIL5840,902,Independent Study,B,IND,114002,1,114002-01-2211-B-902-18881,Independent Study,20211,18881,
PHIL5840,903,Independent Study,B,IND,114002,1,114002-01-2211-B-903-18882,Independent Study,20211,18882,
PHIL5840,904,Independent Study,B,IND,114002,1,114002-01-2211-B-904-18883,Independent Study,20211,18883,
PHIL5840,905,Independent Study,B,IND,114002,1,114002-01-2211-B-905-18884,Independent Study,20211,18884,
PHIL5840,922,Independent Study,B,IND,114002,1,114002-01-2211-B-922-18905,Independent Study,20211,18905,
PHIL5840,923,Independent Study,B,IND,114002,1,114002-01-2211-B-923-18907,Independent Study,20211,18907,
PHIL5840,924,Independent Study,B,IND,114002,1,114002-01-2211-B-924-18908,Independent Study,20211,18908,
PHIL5840,925,Independent Study,B,IND,114002,1,114002-01-2211-B-925-18909,Independent Study,20211,18909,
JPNS4900,901,Independent Study,B,IND,109805,1,109805-01-2211-B-901-18946,Independent Study,20211,18946,
JPNS4900,902,Independent Study,B,IND,109805,1,109805-01-2211-B-902-18947,Independent Study,20211,18947,
JPNS4900,903,Independent Study,B,IND,109805,1,109805-01-2211-B-903-18948,Independent Study,20211,18948,
JPNS4950,801,Honors Thesis,B,OTH,109806,1,109806-01-2211-B-801-18949,Honors Thesis,20211,18949,
JPNS4950,802,Honors Thesis,B,OTH,109806,1,109806-01-2211-B-802-18950,Honors Thesis,20211,18950,
JPNS6900,901,Japanese Independent Study,B,IND,109831,1,109831-01-2211-B-901-18951,Japanese Independent Study,20211,18951,
JPNS6900,902,Japanese Independent Study,B,IND,109831,1,109831-01-2211-B-902-18952,Japanese Independent Study,20211,18952,
JPNS6900,903,Japanese Independent Study,B,IND,109831,1,109831-01-2211-B-903-18953,Japanese Independent Study,20211,18953,
GRMN3900,901,Independent Study,B,IND,107984,1,107984-01-2211-B-901-18970,Independent Study,20211,18970,
GRMN3900,902,Independent Study,B,IND,107984,1,107984-01-2211-B-902-18972,Independent Study,20211,18972,
GRMN3900,903,Independent Study,B,IND,107984,1,107984-01-2211-B-903-18973,Independent Study,20211,18973,
GRMN3900,904,Independent Study,B,IND,107984,1,107984-01-2211-B-904-18974,Independent Study,20211,18974,
GRMN3900,905,Independent Study,B,IND,107984,1,107984-01-2211-B-905-18975,Independent Study,20211,18975,
GRMN3900,906,Independent Study,B,IND,107984,1,107984-01-2211-B-906-18976,Independent Study,20211,18976,
GRMN3900,907,Independent Study,B,IND,107984,1,107984-01-2211-B-907-18977,Independent Study,20211,18977,
GRMN3900,908,Independent Study,B,IND,107984,1,107984-01-2211-B-908-18978,Independent Study,20211,18978,
GRMN4900,902,Independent Study,B,IND,108006,1,108006-01-2211-B-902-18982,Independent Study,20211,18982,
GRMN4900,903,Independent Study,B,IND,108006,1,108006-01-2211-B-903-18983,Independent Study,20211,18983,
GRMN4900,904,Independent Study,B,IND,108006,1,108006-01-2211-B-904-18984,Independent Study,20211,18984,
GRMN4900,905,Independent Study,B,IND,108006,1,108006-01-2211-B-905-18985,Independent Study,20211,18985,
GRMN4900,906,Independent Study,B,IND,108006,1,108006-01-2211-B-906-18986,Independent Study,20211,18986,
GRMN4900,907,Independent Study,B,IND,108006,1,108006-01-2211-B-907-18987,Independent Study,20211,18987,
GRMN4900,908,Independent Study,B,IND,108006,1,108006-01-2211-B-908-18988,Independent Study,20211,18988,
GRMN5900,901,Independent Study,B,IND,108029,1,108029-01-2211-B-901-18991,Independent Study,20211,18991,
GRMN5900,903,Independent Study,B,IND,108029,1,108029-01-2211-B-903-18993,Independent Study,20211,18993,
GRMN5900,904,Independent Study,B,IND,108029,1,108029-01-2211-B-904-18994,Independent Study,20211,18994,
GRMN5900,905,Independent Study,B,IND,108029,1,108029-01-2211-B-905-18995,Independent Study,20211,18995,
GRMN5900,906,Independent Study,B,IND,108029,1,108029-01-2211-B-906-18996,Independent Study,20211,18996,
GRMN5900,907,Independent Study,B,IND,108029,1,108029-01-2211-B-907-18997,Independent Study,20211,18997,
GRMN5900,908,Independent Study,B,IND,108029,1,108029-01-2211-B-908-18998,Independent Study,20211,18998,
HUMN4840,902,Independent Study,B,IND,109223,1,109223-01-2211-B-902-19009,Independent Study,20211,19009,
HUMN4840,903,Independent Study,B,IND,109223,1,109223-01-2211-B-903-19010,Independent Study,20211,19010,
GSLL5900,901,Independent Study,B,IND,108059,1,108059-01-2211-B-901-19055,Independent Study,20211,19055,
GSLL5900,902,Independent Study,B,IND,108059,1,108059-01-2211-B-902-19056,Independent Study,20211,19056,
RUSS1900,901,Independent Study,B,IND,115536,1,115536-01-2211-B-901-19060,Independent Study,20211,19060,
RUSS1900,902,Independent Study,B,IND,115536,1,115536-01-2211-B-902-19061,Independent Study,20211,19061,
RUSS1900,903,Independent Study,B,IND,115536,1,115536-01-2211-B-903-19062,Independent Study,20211,19062,
RUSS1900,905,Independent Study,B,IND,115536,1,115536-01-2211-B-905-19064,Independent Study,20211,19064,
RUSS1900,906,Independent Study,B,IND,115536,1,115536-01-2211-B-906-19067,Independent Study,20211,19067,
RUSS3900,901,Independent Study,B,IND,115570,1,115570-01-2211-B-901-19071,Independent Study,20211,19071,
RUSS3900,902,Independent Study,B,IND,115570,1,115570-01-2211-B-902-19072,Independent Study,20211,19072,
RUSS3900,903,Independent Study,B,IND,115570,1,115570-01-2211-B-903-19073,Independent Study,20211,19073,
RUSS3900,904,Independent Study,B,IND,115570,1,115570-01-2211-B-904-19074,Independent Study,20211,19074,
RUSS3900,905,Independent Study,B,IND,115570,1,115570-01-2211-B-905-19075,Independent Study,20211,19075,
RUSS3900,906,Independent Study,B,IND,115570,1,115570-01-2211-B-906-19076,Independent Study,20211,19076,
RUSS4900,902,Independent Study,B,IND,115603,1,115603-01-2211-B-902-19084,Independent Study,20211,19084,
RUSS4900,903,Independent Study,B,IND,115603,1,115603-01-2211-B-903-19085,Independent Study,20211,19085,
RUSS4900,904,Independent Study,B,IND,115603,1,115603-01-2211-B-904-19086,Independent Study,20211,19086,
RUSS4900,905,Independent Study,B,IND,115603,1,115603-01-2211-B-905-19087,Independent Study,20211,19087,
RUSS4900,906,Independent Study,B,IND,115603,1,115603-01-2211-B-906-19088,Independent Study,20211,19088,
HEBR3840,900,Independent Study,B,IND,108099,1,108099-01-2211-B-900-19095,Independent Study,20211,19095,
SCAN1900,901,Independent Study,B,IND,115644,1,115644-01-2211-B-901-19099,Independent Study,20211,19099,
SCAN2900,901,Independent Study,B,IND,115651,1,115651-01-2211-B-901-19103,Independent Study,20211,19103,
SCAN3900,900,Independent Study,B,IND,115663,1,115663-01-2211-B-900-19106,Independent Study,20211,19106,
ENVS5909,901,Independent Study,B,IND,106330,1,106330-01-2211-B-901-19110,Independent Study,20211,19110,
ENVS5909,902,Independent Study,B,IND,106330,1,106330-01-2211-B-902-19111,Independent Study,20211,19111,
ENVS5909,903,Independent Study,B,IND,106330,1,106330-01-2211-B-903-19112,Independent Study,20211,19112,
ENVS5909,904,Independent Study,B,IND,106330,1,106330-01-2211-B-904-19113,Independent Study,20211,19113,
PHIL8990,901,Doctor's Thesis,B,DIS,114038,1,114038-01-2211-B-901-19118,Doctor's Thesis,20211,19118,
PHIL8990,902,Doctor's Thesis,B,DIS,114038,1,114038-01-2211-B-902-19119,Doctor's Thesis,20211,19119,
PHIL8990,903,Doctor's Thesis,B,DIS,114038,1,114038-01-2211-B-903-19120,Doctor's Thesis,20211,19120,
ENVS5909,905,Independent Study,B,IND,106330,1,106330-01-2211-B-905-19121,Independent Study,20211,19121,
ENVS5909,906,Independent Study,B,IND,106330,1,106330-01-2211-B-906-19122,Independent Study,20211,19122,
ENVS5909,907,Independent Study,B,IND,106330,1,106330-01-2211-B-907-19123,Independent Study,20211,19123,
ENVS5909,908,Independent Study,B,IND,106330,1,106330-01-2211-B-908-19124,Independent Study,20211,19124,
ENVS5909,909,Independent Study,B,IND,106330,1,106330-01-2211-B-909-19125,Independent Study,20211,19125,
ENVS5909,910,Independent Study,B,IND,106330,1,106330-01-2211-B-910-19126,Independent Study,20211,19126,
ENVS5909,911,Independent Study,B,IND,106330,1,106330-01-2211-B-911-19127,Independent Study,20211,19127,
ENVS5909,912,Independent Study,B,IND,106330,1,106330-01-2211-B-912-19128,Independent Study,20211,19128,
ENVS5909,913,Independent Study,B,IND,106330,1,106330-01-2211-B-913-19129,Independent Study,20211,19129,
